NAME;CPUS;SHARED_CPU;MEMORY_GB;DEPRECATED;ZONE
c2-standard-8;8;False;32.00;;asia-east1-c
c2-standard-8;8;False;32.00;;asia-east2-a
c2-standard-8;8;False;32.00;;asia-east2-b
c2-standard-8;8;False;32.00;;asia-east2-c
c2-standard-8;8;False;32.00;;asia-northeast1-a
c2-standard-8;8;False;32.00;;asia-northeast1-b
c2-standard-8;8;False;32.00;;asia-northeast1-c
c2-standard-8;8;False;32.00;;asia-northeast2-a
c2-standard-8;8;False;32.00;;asia-northeast2-b
c2-standard-8;8;False;32.00;;asia-northeast2-c
c2-standard-8;8;False;32.00;;asia-northeast3-a
c2-standard-8;8;False;32.00;;asia-northeast3-b
c2-standard-8;8;False;32.00;;asia-northeast3-c
c2-standard-8;8;False;32.00;;asia-south1-a
c2-standard-8;8;False;32.00;;asia-south1-b
c2-standard-8;8;False;32.00;;asia-south1-c
c2-standard-8;8;False;32.00;;asia-south2-a
c2-standard-8;8;False;32.00;;asia-south2-b
c2-standard-8;8;False;32.00;;asia-south2-c
c2-standard-8;8;False;32.00;;asia-southeast1-a
c2-standard-8;8;False;32.00;;asia-southeast1-b
c2-standard-8;8;False;32.00;;asia-southeast1-c
c2-standard-8;8;False;32.00;;australia-southeast1-a
c2-standard-8;8;False;32.00;;australia-southeast1-b
c2-standard-8;8;False;32.00;;australia-southeast1-c
c2-standard-8;8;False;32.00;;europe-north1-a
c2-standard-8;8;False;32.00;;europe-north1-b
c2-standard-8;8;False;32.00;;europe-north1-c
c2-standard-8;8;False;32.00;;europe-west1-b
c2-standard-8;8;False;32.00;;europe-west1-c
c2-standard-8;8;False;32.00;;europe-west1-d
c2-standard-8;8;False;32.00;;europe-west2-a
c2-standard-8;8;False;32.00;;europe-west2-b
c2-standard-8;8;False;32.00;;europe-west2-c
c2-standard-8;8;False;32.00;;europe-west3-a
c2-standard-8;8;False;32.00;;europe-west3-b
c2-standard-8;8;False;32.00;;europe-west3-c
c2-standard-8;8;False;32.00;;europe-west4-a
c2-standard-8;8;False;32.00;;europe-west4-b
c2-standard-8;8;False;32.00;;europe-west4-c
c2-standard-8;8;False;32.00;;europe-west6-a
c2-standard-8;8;False;32.00;;europe-west6-b
c2-standard-8;8;False;32.00;;europe-west6-c
c2-standard-8;8;False;32.00;;northamerica-northeast1-a
c2-standard-8;8;False;32.00;;northamerica-northeast1-b
c2-standard-8;8;False;32.00;;northamerica-northeast1-c
c2-standard-8;8;False;32.00;;southamerica-east1-a
c2-standard-8;8;False;32.00;;southamerica-east1-b
c2-standard-8;8;False;32.00;;southamerica-east1-c
c2-standard-8;8;False;32.00;;southamerica-west1-a
c2-standard-8;8;False;32.00;;southamerica-west1-b
c2-standard-8;8;False;32.00;;southamerica-west1-c
c2-standard-8;8;False;32.00;;us-central1-a
c2-standard-8;8;False;32.00;;us-central1-b
c2-standard-8;8;False;32.00;;us-central1-c
c2-standard-8;8;False;32.00;;us-central1-f
c2-standard-8;8;False;32.00;;us-east1-a
c2-standard-8;8;False;32.00;;us-east1-b
c2-standard-8;8;False;32.00;;us-east1-c
c2-standard-8;8;False;32.00;;us-east1-d
c2-standard-8;8;False;32.00;;us-east4-a
c2-standard-8;8;False;32.00;;us-east4-b
c2-standard-8;8;False;32.00;;us-east4-c
c2-standard-8;8;False;32.00;;us-west1-a
c2-standard-8;8;False;32.00;;us-west1-b
c2-standard-8;8;False;32.00;;us-west1-c
c2-standard-8;8;False;32.00;;us-west2-a
c2-standard-8;8;False;32.00;;us-west2-b
c2-standard-8;8;False;32.00;;us-west2-c
c2-standard-8;8;False;32.00;;us-west3-a
c2-standard-8;8;False;32.00;;us-west3-b
c2-standard-8;8;False;32.00;;us-west3-c
c2-standard-8;8;False;32.00;;us-west4-a
c2-standard-8;8;False;32.00;;us-west4-b
c2-standard-8;8;False;32.00;;us-west4-c
c2d-highcpu-112;112;False;224.00;;asia-east1-a
c2d-highcpu-112;112;False;224.00;;asia-east1-b
c2d-highcpu-112;112;False;224.00;;asia-east1-c
c2d-highcpu-112;112;False;224.00;;asia-southeast1-a
c2d-highcpu-112;112;False;224.00;;asia-southeast1-b
c2d-highcpu-112;112;False;224.00;;asia-southeast1-c
c2d-highcpu-112;112;False;224.00;;europe-west4-a
c2d-highcpu-112;112;False;224.00;;europe-west4-b
c2d-highcpu-112;112;False;224.00;;europe-west4-c
c2d-highcpu-112;112;False;224.00;;us-central1-a
c2d-highcpu-112;112;False;224.00;;us-central1-c
c2d-highcpu-112;112;False;224.00;;us-central1-d
c2d-highcpu-112;112;False;224.00;;us-central1-f
c2d-highcpu-112;112;False;224.00;;us-east1-b
c2d-highcpu-112;112;False;224.00;;us-east1-c
c2d-highcpu-112;112;False;224.00;;us-east1-d
c2d-highcpu-112;112;False;224.00;;us-east4-a
c2d-highcpu-112;112;False;224.00;;us-east4-b
c2d-highcpu-112;112;False;224.00;;us-east4-c
c2d-highcpu-16;16;False;32.00;;asia-east1-a
c2d-highcpu-16;16;False;32.00;;asia-east1-b
c2d-highcpu-16;16;False;32.00;;asia-east1-c
c2d-highcpu-16;16;False;32.00;;asia-southeast1-a
c2d-highcpu-16;16;False;32.00;;asia-southeast1-b
c2d-highcpu-16;16;False;32.00;;asia-southeast1-c
c2d-highcpu-16;16;False;32.00;;europe-west4-a
c2d-highcpu-16;16;False;32.00;;europe-west4-b
c2d-highcpu-16;16;False;32.00;;europe-west4-c
c2d-highcpu-16;16;False;32.00;;us-central1-a
c2d-highcpu-16;16;False;32.00;;us-central1-c
c2d-highcpu-16;16;False;32.00;;us-central1-d
c2d-highcpu-16;16;False;32.00;;us-central1-f
c2d-highcpu-16;16;False;32.00;;us-east1-b
